Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
-1,1827,789,1200,1801,2585,3198,2904,1625,228,-2276,2622,1401,2385,1671,714,2,915,1346,1980,2719,3504,3189,1780,250,-2494,899,1310,1927,2720,3494,3184,1775,249,-2487,10245,39843,6281
-1,1822,754,1139,1624,2420,3411,3048,1733,243,-2428,2618,1446,2564,1763,801,1,919,1311,1827,2522,3609,3228,1833,257,-2569,883,1259,1771,2486,3600,3248,1829,257,-2562,10196,39936,6281
246,1789,917,1381,1941,2641,3503,3101,1780,250,-2493,2588,1305,2372,1657,715,5,903,1355,1929,2695,3476,3065,1766,248,-2474,973,1457,2107,2912,3749,3175,1904,267,-2668,10031,40322,6281
0,1756,658,1003,1374,2045,2681,2391,1362,191,-1908,2555,1562,3291,1877,1414,2,768,1177,1684,2404,3112,2716,1581,222,-2215,837,1272,1800,2548,3443,2991,1749,245,-2450,9742,40256,6281
117,1709,851,1335,1873,2747,3674,3260,1866,262,-2615,2507,1486,2310,1773,537,2,953,1475,2064,2944,4081,3565,2073,291,-2904,1048,1612,2289,3229,4485,3894,2278,320,-3192,9244,40301,6281
-1,1719,815,1211,1609,2532,3148,2752,1599,224,-2240,2523,1443,2859,1778,1081,3,978,1456,1986,2791,3715,3290,1887,265,-2644,1080,1586,2203,3137,4052,3537,2058,289,-2884,9104,40379,6281
302,1714,750,1111,1530,2381,2896,2553,1471,206,-2061,2509,1410,2963,1772,1191,8,900,1358,1957,2781,3518,3016,1787,251,-2504,961,1422,2011,2868,3813,3149,1937,272,-2714,8978,40454,6281
-1,1689,880,1291,1801,2777,3616,3192,1837,258,-2574,2497,1434,3133,1752,1381,1,984,1430,2060,2954,3869,3493,1965,276,-2754,1111,1625,2279,3209,4269,3618,2169,304,-3038,8870,40825,6281
306,1687,883,1253,1704,2615,3380,2918,1717,241,-2406,2496,1322,2597,1623,974,4,1102,1596,2202,3043,4114,3579,2090,293,-2928,1121,1669,2297,3165,4263,3583,2166,304,-3034,8856,40823,6266
-1,1683,862,1243,1660,2662,3333,2883,1693,238,-2372,2492,1258,2944,1652,1292,0,988,1443,1959,2715,3676,3206,1867,262,-2616,1106,1607,2222,2986,4120,3572,2093,294,-2932,8867,40651,6266
-1,1679,845,1269,1618,2623,3361,2809,1707,240,-2392,2488,1260,3191,1682,1509,0,1043,1544,2076,2872,3952,3284,2008,282,-2813,1099,1586,2144,3028,4179,3412,2123,298,-2974,8891,40635,6266
-1,1677,820,1220,1590,2752,3298,2765,1675,235,-2347,2486,1321,3466,1861,1605,0,1059,1549,2119,3035,4132,3515,2099,295,-2941,1102,1630,2258,3154,4258,3606,2163,304,-3030,8941,40735,6281
-1,1674,921,1350,1827,2721,3617,3028,1837,258,-2574,2484,1252,2604,1588,1016,2,1063,1560,2112,2901,3971,3326,2017,283,-2826,1129,1680,2276,3156,4237,3601,2152,302,-3015,9006,40759,6266
-1,1705,842,1262,1664,2617,3321,2858,1687,237,-2364,2515,1403,2698,1779,919,0,1026,1564,2153,3105,3934,3425,1998,280,-2800,1105,1622,2290,3101,4202,3597,2135,300,-2991,8962,40326,6281
262,1704,898,1376,1826,2643,3467,2916,1761,247,-2467,2515,1320,2318,1689,629,3,1052,1549,2086,3069,3870,3361,1966,276,-2754,1155,1663,2319,3194,4139,3474,2103,295,-2946,8980,40452,6281
6,1686,952,1478,2020,2972,3440,2860,1748,245,-2448,2497,1223,2001,1449,553,4,1244,1871,2586,3473,4100,3573,2083,292,-2918,1124,1839,2402,3387,4172,3551,2119,297,-2969,9014,40739,6281
-1,1711,1090,1746,2179,3084,3978,3410,2021,284,-2831,2523,1235,2099,1483,616,1,1284,1891,2610,3573,4217,3680,2142,301,-3001,1437,2170,2898,3841,4525,3828,2299,323,-3220,9302,40489,6281
270,1763,983,1488,1989,3125,3772,3173,1916,269,-2685,2578,1433,2465,1825,640,4,1178,1845,2449,3487,4174,3563,2120,298,-2971,1268,1940,2597,3648,4472,3727,2272,319,-3183,9668,40338,6281
255,1534,1228,1766,2373,3169,3848,3433,1955,274,-2739,2412,1218,2193,1480,713,5,1344,1978,2674,3611,4301,3825,2185,307,-3061,1282,1859,2520,3472,4226,3743,2147,301,-3008,7630,41257,6281
306,1557,1134,1766,2314,3008,3347,2958,1700,239,-2382,2429,1047,1623,1280,343,4,1362,2056,2803,3532,3894,3525,1978,278,-2771,1242,1872,2597,3414,3789,3385,1925,270,-2697,7674,41246,6281
285,1578,1122,1722,2514,3249,3599,3241,1828,257,-2561,2449,1094,1529,1208,321,5,1173,1862,2787,3495,3868,3532,1965,276,-2753,1119,1748,2632,3435,3839,3465,1950,274,-2732,7741,41225,6281
146,1551,1120,1766,2351,3187,3932,3513,1997,280,-2798,2418,1261,1994,1480,514,6,1249,1905,2610,3536,4463,4011,2267,318,-3176,1154,1799,2444,3375,4266,3763,2167,304,-3036,7524,41255,6281
79,1561,1095,1686,2293,3102,3305,2943,1679,236,-2352,2429,1222,1863,1452,411,2,1285,1977,2731,3509,3952,3610,2008,282,-2813,1195,1829,2585,3499,3750,3363,1905,267,-2669,7474,41246,6281
354,1683,566,853,1180,1939,2539,2130,1290,181,-1807,2545,1589,3048,2229,819,4,697,1045,1450,2225,3086,2612,1568,220,-2196,624,928,1262,2203,2863,2358,1454,204,-2038,8247,40713,6281
-1,1661,993,1542,2094,3116,3624,3032,1841,258,-2579,2529,1259,2088,1577,512,1,1188,1879,2563,3406,4294,3689,2181,306,-3056,1005,1595,2170,3302,3973,3310,2018,283,-2828,8201,40745,6281
-1,1446,1126,1670,2268,3186,3754,3184,1907,268,-2672,2250,1277,2270,1555,716,1,1276,1900,2625,3542,4295,3706,2182,306,-3057,1117,1709,2266,3232,4160,3469,2113,297,-2961,5593,41835,6281
217,1743,581,930,1178,2238,2494,1961,1267,178,-1775,2546,1590,3679,2175,1504,4,719,1151,1523,2339,3096,2487,1573,221,-2203,837,1230,1559,2382,3061,2456,1555,218,-2179,7621,40156,6676
202,1609,1090,1534,2018,2740,3240,2757,1646,231,-2306,2409,1395,2406,1714,692,4,1044,1598,2068,2852,3389,2904,1722,242,-2412,1052,1537,2015,2799,3571,3083,1814,255,-2541,6877,40784,6266
144,1729,649,1052,1317,2232,2715,2129,1379,194,-1932,2602,1896,3267,2301,967,24,834,1280,1707,2715,3441,2806,1748,245,-2449,787,1199,1605,2644,3335,2690,1694,238,-2374,9101,40321,6281
-1,1619,719,1115,1613,2434,3593,3213,1825,256,-2557,2418,1474,3050,1917,1134,2,899,1345,1951,2776,4069,3630,2067,290,-2896,772,1239,1909,2695,4220,3613,2144,301,-3003,7498,40701,6266
-1,1629,822,1284,1851,2951,3972,3444,2018,283,-2827,2429,1542,3028,2014,1014,0,917,1414,2046,3090,4224,3732,2146,301,-3006,890,1381,2032,2938,4345,3698,2207,310,-3092,7547,40680,6266
-1,1563,780,1220,1670,2686,3446,2950,1751,246,-2453,2385,1386,2964,1802,1162,2,946,1393,1939,2751,3742,3350,1901,267,-2663,796,1237,1764,2543,3676,3327,1867,262,-2616,7884,41096,6266
270,1563,875,1296,1742,2843,3591,3092,1824,256,-2556,2386,1530,2819,1792,1028,3,1064,1572,2191,3079,4319,3888,2194,308,-3074,926,1405,1989,2862,4041,3497,2053,288,-2876,7931,41082,6266
276,1562,825,1340,1852,2774,3550,3012,1803,253,-2527,2387,1582,3403,1920,1483,4,1006,1492,2060,2934,4030,3588,2047,287,-2868,832,1280,1842,2822,3664,3101,1861,261,-2608,7855,41071,6281
-1,1569,735,1131,1568,2807,3362,2754,1708,240,-2393,2390,1657,3304,1965,1339,1,1024,1530,2132,3154,4131,3668,2099,295,-2940,908,1398,2038,3156,4084,3478,2075,291,-2907,7775,41113,6281
-1,1570,770,1160,1596,2573,3328,2935,1691,237,-2369,2390,1666,3273,2008,1265,0,973,1463,2013,3004,4029,3601,2047,287,-2867,794,1237,1814,2766,3660,3247,1859,261,-2605,7802,41097,6266
-1,1802,688,1071,1364,2595,3186,2628,1618,227,-2267,2596,1536,3257,1946,1312,2,989,1467,2009,2911,3786,3282,1923,270,-2694,974,1451,1962,2906,3808,3309,1934,272,-2710,10429,39897,6281
-1,1733,876,1352,1854,2700,3704,3158,1882,264,-2636,2558,1320,2627,1758,870,2,991,1536,2159,2989,3940,3368,2002,281,-2804,903,1412,1954,3098,3897,3211,1980,278,-2773,9511,40418,6281
-1,1385,801,1258,1740,2782,3268,2707,1660,233,-2326,2150,1447,3023,1793,1231,0,1006,1448,2069,2898,3757,3322,1909,268,-2674,982,1431,1899,2763,3646,3015,1852,260,-2595,8041,41935,6266
225,1547,960,1559,2136,3177,3756,3376,1908,268,-2673,2419,1342,2614,1691,923,5,1089,1651,2328,3223,3944,3620,2004,281,-2807,1100,1610,2265,3109,3908,3545,1985,279,-2781,7670,41250,6281
39,1569,1013,1534,1975,2842,3777,3202,1919,269,-2688,2441,1628,2782,1972,810,11,1128,1671,2215,3091,4194,3564,2131,299,-2985,1079,1611,2103,2921,4029,3410,2047,287,-2867,7718,41260,6281
-1,1435,1376,1932,2563,3304,4152,3511,2109,296,-2955,2228,1251,1952,1488,464,2,1440,2044,2702,3453,4410,3838,2240,314,-3139,1221,1763,2321,3235,4309,3619,2189,307,-3067,6144,41843,6281
-1,1432,1302,1817,2417,3242,4277,3893,2173,305,-3044,2225,1406,3718,1768,1950,2,1261,1778,2374,3195,4458,4085,2265,318,-3173,1165,1717,2268,3392,4341,3727,2205,310,-3089,6159,41840,6281
-1,1439,1259,1761,2370,3205,3989,3466,2026,284,-2839,2231,1341,2176,1595,581,3,1302,1894,2571,3373,4366,3870,2218,311,-3107,1103,1665,2255,3086,4165,3591,2116,297,-2964,6162,41842,6281
18,1444,1337,1870,2467,3324,3956,3331,2010,282,-2815,2235,1289,2203,1552,652,4,1440,2032,2659,3472,4347,3769,2208,310,-3094,1143,1692,2200,3098,4037,3394,2051,288,-2873,6184,41838,6281
270,1424,886,1328,1772,2852,3518,2878,1787,251,-2504,2185,1509,2678,1845,833,3,960,1387,1920,2716,3597,3075,1827,256,-2560,1009,1465,1963,2923,3807,3324,1934,271,-2709,8765,41643,6266
301,1411,895,1306,1694,2788,3486,2902,1771,249,-2481,2172,1523,2869,1850,1019,2,954,1353,1828,2621,3578,3096,1818,255,-2546,1003,1460,1907,2917,3860,3253,1961,275,-2747,8666,41669,6266
-1,1407,848,1240,1584,2632,3379,2753,1717,241,-2405,2166,1472,2793,1845,948,2,955,1331,1774,2556,3595,3070,1826,256,-2559,988,1426,1859,2724,3792,3268,1926,270,-2699,8661,41647,6266
211,1424,882,1321,1694,2966,3447,2807,1751,246,-2453,2185,1516,2683,1829,855,2,971,1367,1849,2626,3567,3096,1812,254,-2539,1048,1489,1986,2891,3911,3393,1987,279,-2783,8735,41625,6266
