Asp,Elev,FalB1,FalB2,FalB3,FalB4,FalB5,FalB6,FalTCb,FalTCg,FalTCw,LAE,NDVIMin,NDVIMax,NDVIMedian,NDVIDiff,Slpp,SprB1,SprB2,SprB3,SprB4,SprB5,SprB6,SprTCb,SprTCg,SprTCw,SumB1,SumB2,SumB3,SumB4,SumB5,SumB6,SumTcb,SumTcg,SumTCw,ppti,tavei,dep
162,2125,1040,1491,1864,2705,3756,3050,1908,268,-2673,3302,1529,3293,2292,1001,3,1053,1611,1966,3104,4125,3532,2096,294,-2936,1108,1674,2086,3101,4058,3433,2061,289,-2888,8714,36253,6290
101,2058,1061,1568,1976,2790,3760,3099,1910,268,-2676,3228,1262,2712,1860,852,2,993,1580,1927,2952,3945,3236,2004,281,-2808,1034,1636,2079,2981,4010,3196,2037,286,-2854,8454,36491,6290
297,2149,1014,1549,1913,2786,3661,2905,1860,261,-2606,3328,1318,2191,1723,468,4,1107,1752,2110,3118,3977,3285,2020,284,-2830,1147,1786,2251,3152,4091,3247,2078,292,-2912,8689,36210,6291
63,2148,1839,2415,2944,3748,5029,3659,2555,359,-3579,3322,989,1934,1391,543,2,1763,2642,3248,4255,5209,4306,2646,371,-3707,1534,2540,2352,4158,5709,4160,2900,407,-4063,9724,36200,6290
315,2148,1256,2876,2705,4010,5328,3962,2707,380,-3792,3322,1049,2053,1508,545,1,1641,2631,3223,3994,4585,3845,2329,327,-3263,1540,2229,2757,4256,5014,3732,2547,357,-3568,9724,36200,6290
158,2137,1864,2385,2922,4016,5287,4446,2686,377,-3763,3310,1100,1998,1473,525,4,1590,2464,2857,4023,4966,3889,2523,354,-3534,1534,2302,2649,4148,5387,3570,2737,384,-3834,9779,36184,6290
162,1632,471,736,935,1827,2155,1526,1095,154,-1534,2800,1577,5763,2475,3288,1,761,1036,1125,2237,2657,1917,1350,189,-1891,426,762,775,2410,2134,1391,1084,152,-1519,5321,37940,6282
315,1735,815,1154,1489,2109,3303,2882,1678,236,-2351,2913,1606,3095,2239,857,1,912,1327,1731,2740,3486,3126,1771,249,-2481,829,1206,1601,2475,3571,2945,1814,255,-2541,5614,37680,6286
315,2118,1157,1860,2275,2957,3893,3240,1978,278,-2771,3300,896,1680,1204,476,3,1044,1832,2311,3179,4117,3501,2091,294,-2930,1085,1882,2381,3232,4188,3375,2128,299,-2981,7308,36281,6290
0,2110,1228,1951,2379,3132,4396,3783,2233,313,-3129,3295,1047,1845,1432,413,8,1118,1745,2143,3181,4187,3473,2127,299,-2980,1149,1829,2267,3193,4120,3364,2093,294,-2932,7250,36282,6291
219,2103,1118,1702,2126,2960,3876,3306,1969,276,-2759,3280,1271,2431,1800,631,5,1073,1689,2048,3010,3790,3373,1925,270,-2697,1122,1771,2186,3075,3910,3294,1986,279,-2783,7107,36465,6290
119,2079,1599,2345,2756,3151,3775,3116,1918,269,-2687,3255,488,910,715,195,10,1509,2237,2641,3141,3616,2945,1837,258,-2574,1434,2131,2530,3159,3745,2941,1902,267,-2665,7147,36477,6290
346,2125,921,1388,1701,2357,3352,2858,1703,239,-2386,3307,1304,1995,1622,373,3,924,1497,1829,2770,3787,3289,1924,270,-2695,976,1553,1944,2773,3903,3265,1983,278,-2778,7359,36229,6286
270,2010,954,1420,1772,2740,3294,2630,1673,235,-2344,3195,1175,2722,1850,873,7,1105,1630,1925,2851,3671,3025,1865,262,-2613,1136,1712,2038,2882,3789,3044,1925,270,-2697,6910,36531,6290
1,2023,822,1336,1598,2415,2699,2090,1371,192,-1921,3217,1073,2525,1740,785,27,1152,1679,1984,2783,3332,2614,1693,238,-2371,1180,1754,2088,2788,3532,2688,1794,252,-2514,6900,36537,6290
233,2058,1110,1646,2165,2728,3022,2329,1535,215,-2151,3245,696,1833,1037,796,36,1154,1732,2068,2810,3178,2557,1614,227,-2262,1198,1841,2231,2841,3351,2670,1702,239,-2385,7046,36500,6290
86,1986,480,706,903,2010,1836,1325,933,131,-1307,3171,1874,5382,3337,2045,5,786,1290,1452,2841,2632,1975,1337,188,-1873,828,1348,1596,2848,2750,2018,1397,196,-1957,7003,36684,6286
